tag,preferred_cn,alternatives,category,post_count,confidence,source,notes
bikini,比基尼,ビキニ水着|剥ぎ取りたいビキニ|比基尼|豹柄ビキニ,0,464629,0.93,byzod+ai,来自byzod高质量包+清洗
small_breasts,贫乳,小胸|娇小胸部(B)|貧乳|微乳|極上の貧乳,0,464376,0.97,byzod+ai,[Manual] ACG社区高度共识术语'贫乳'
earrings,耳环,耳飾り|耳飾,0,458252,0.93,byzod+ai,来自byzod高质量包+清洗
sweat,汗水,汗|汗だく,0,453578,0.93,byzod+ai,来自byzod高质量包+清洗
outdoors,户外|野战,野外|青姦|野外緊縛|室外|户外,0,447763,0.93,byzod+ai,来自byzod高质量包+清洗
weapon,武器|兵器,武器|兵器,0,442296,0.93,byzod+ai,来自byzod高质量包+清洗
:d,开心的笑,,0,436700,0.93,byzod+ai,来自byzod高质量包+清洗
nude,裸体的,裸|裸ニーソ|裸手袋|裸体|裸靴下,0,434082,0.93,byzod+ai,来自byzod高质量包+清洗
hair_bow,蝴蝶结发圈,,0,428906,0.93,byzod+ai,来自byzod高质量包+清洗
parted_lips,张开的嘴唇,,0,426864,0.93,byzod+ai,来自byzod高质量包+清洗
pleated_skirt,百褶裙,百褶裙,0,423601,0.93,byzod+ai,来自byzod高质量包+清洗
frills,花边,花边,0,423188,0.93,byzod+ai,来自byzod高质量包+清洗
red_hair,红发,赤髪|紅髪|红发,0,413261,0.93,byzod+ai,来自byzod高质量包+清洗
censored,审核过的/有码,,0,412658,0.93,byzod+ai,来自byzod高质量包+清洗
open_clothes,敞开衣服,,0,406119,0.93,byzod+ai,来自byzod高质量包+清洗
hairband,发卡,猫耳カチューシャ|头箍|发箍,0,396719,0.93,byzod+ai,来自byzod高质量包+清洗
lying,躺着的,寝そべり|寝そべる|横臥|横になる|寝転がる,0,394069,0.93,byzod+ai,来自byzod高质量包+清洗
horns,兽角,角|角娘|角っ子|有角人|角っ娘,0,393426,0.93,byzod+ai,来自byzod高质量包+清洗
teeth,牙齿,,0,391147,0.93,byzod+ai,来自byzod高质量包+清洗
black_gloves,黑色手套,黒手袋,0,386670,0.93,byzod+ai,来自byzod高质量包+清洗
alternate_costume,角色换装,衣装チェンジ|私服艦娘,0,383478,0.93,byzod+ai,来自byzod高质量包+清洗
shorts,短裤,半ズボン|短パン,0,367026,0.93,byzod+ai,来自byzod高质量包+清洗
sleeveless,无袖,,0,363320,0.93,byzod+ai,来自byzod高质量包+清洗
choker,项圈,颈圈,0,360630,0.93,byzod+ai,来自byzod高质量包+清洗
virtual_youtuber,虚拟Youtub,虚拟Youtuber|虚拟主播|虛擬主播|虚拟YouTuber|虛擬YouTuber|虚拟UP主,0,360061,0.86,byzod+ai,Byzod长描述→缩短主显示
penis,阴茎,陰茎|陰莖|阴茎|男根|男性器,0,356232,0.93,byzod+ai,来自byzod高质量包+清洗
detached_sleeves,分离袖子,袖だけ霊夢|袖だけ,0,351688,0.93,byzod+ai,来自byzod高质量包+清洗
boots,长靴,長靴|裸ブーツ,0,350847,0.93,byzod+ai,来自byzod高质量包+清洗
sky,天空,空|天空,0,350533,0.93,byzod+ai,来自byzod高质量包+清洗
collared_shirt,翻领衬衫,,0,344961,0.93,byzod+ai,来自byzod高质量包+清洗
wings,翅膀,翼|羽|翅|翅膀|有翼,0,341732,0.93,byzod+ai,来自byzod高质量包+清洗
one_eye_closed,闭着一只眼,ウィンクX東方,0,339935,0.93,byzod+ai,来自byzod高质量包+清洗
pointy_ears,尖耳,エルフ耳|尖耳朵|とんがり耳,0,334900,0.93,byzod+ai,来自byzod高质量包+清洗
shoes,鞋子,靴|鞋子,0,327693,0.93,byzod+ai,来自byzod高质量包+清洗
food,食物,食べ物|食品|食物,0,324823,0.93,byzod+ai,来自byzod高质量包+清洗
pussy,小穴,女性器|屄|膣|女性生殖器|女阴,0,324777,0.93,byzod+ai,来自byzod高质量包+清洗
necktie,领带,领带,0,322632,0.93,byzod+ai,来自byzod高质量包+清洗
indoors,室内,部屋|室内|屋内,0,322574,0.93,byzod+ai,来自byzod高质量包+清洗
barefoot,裸足,裸足|素足|裸足裏|制服裸足|裸足男子,0,322560,0.93,byzod+ai,来自byzod高质量包+清洗
tongue,舌头,舌|舌責め,0,320198,0.93,byzod+ai,来自byzod高质量包+清洗
medium_hair,中等长发,,0,318181,0.93,byzod+ai,来自byzod高质量包+清洗
black_thighhighs,黑色过膝袜,黒ニーソックス|黒ニーソ|黒ニーハイ|黒ストッキング|黑丝,0,316516,0.93,byzod+ai,来自byzod高质量包+清洗
solo_focus,以单独人物为焦点,,0,314253,0.93,byzod+ai,来自byzod高质量包+清洗
green_hair,绿发,緑髪,0,311713,0.93,byzod+ai,来自byzod高质量包+清洗
artist_name,作者署名,,0,311227,0.93,byzod+ai,来自byzod高质量包+清洗
official_alternate_costume,与原设不同衣服,,0,309695,0.93,byzod+ai,来自byzod高质量包+清洗
monochrome,单色图片,モノクロ画|单色调,0,307283,0.93,byzod+ai,来自byzod高质量包+清洗
socks,短袜,靴下|生靴下|裸靴下,0,307276,0.93,byzod+ai,来自byzod高质量包+清洗
hand_up,抬起手,,0,291973,0.93,byzod+ai,来自byzod高质量包+清洗
japanese_clothes,日式服装,和服,0,286888,0.93,byzod+ai,来自byzod高质量包+清洗
day,白天,昼間|昼,0,285985,0.93,byzod+ai,来自byzod高质量包+清洗
pants,裤子,,0,285685,0.93,byzod+ai,来自byzod高质量包+清洗
puffy_sleeves,蓬蓬的袖子,,0,283318,0.93,byzod+ai,来自byzod高质量包+清洗
hairclip,发夹,髪留め,0,282746,0.93,byzod+ai,来自byzod高质量包+清洗
male_focus,男性特写,男の子|少年|男性|男子,0,280627,0.93,byzod+ai,来自byzod高质量包+清洗
black_skirt,黑色短裙,,0,277743,0.93,byzod+ai,来自byzod高质量包+清洗
halo,头顶光环,天使の輪|天使の輪っか|光环,0,272639,0.93,byzod+ai,来自byzod高质量包+清洗
fang,虎牙,八重歯|虎牙|犬齿,0,267648,0.93,byzod+ai,来自byzod高质量包+清洗
belt,腰带,腰带,0,267317,0.93,byzod+ai,来自byzod高质量包+清洗
elbow_gloves,长手套,長手袋|长手套|白長手袋|肘手套,0,261614,0.93,byzod+ai,来自byzod高质量包+清洗
stomach,小腹,下腹|お腹|いいおなかの日,0,259949,0.93,byzod+ai,来自byzod高质量包+清洗
midriff,露腰上衣,へそ出し|ヘソ出し|腹チラ|腹部|肚子,0,257401,0.93,byzod+ai,来自byzod高质量包+清洗
glasses,眼镜|眼镜娘,眼鏡|眼鏡っ娘|眼镜|伊達眼鏡,0,256895,0.93,byzod+ai,来自byzod高质量包+清洗
white_gloves,白手套,白手袋|白手套|白長手袋,0,256496,0.93,byzod+ai,来自byzod高质量包+清洗
bowtie,领结,蝶ネクタイ|領結|领结,0,254481,0.93,byzod+ai,来自byzod高质量包+清洗
blunt_bangs,齐刘海,平刘海|前髪ぱっつん|齐刘海,0,244931,0.97,byzod+ai,[Manual] 标准
tongue_out,吐舌头,舌出し,0,243263,0.93,byzod+ai,来自byzod高质量包+清洗
signature,签名,サイン入り|签名,0,239444,0.93,byzod+ai,来自byzod高质量包+清洗
looking_back,向后看,見返り|振り返り|振り向き|振り向く|見返り美人,0,239149,0.93,byzod+ai,来自byzod高质量包+清洗
white_dress,白色连衣裙,白ワンピ|白ワンピース,0,238271,0.93,byzod+ai,来自byzod高质量包+清洗
sex,性交,性交|性行為|中出し|挿入,0,235573,0.93,byzod+ai,来自byzod高质量包+清洗
hair_flower,头发上别着花,頭に花|花飾り,0,235005,0.93,byzod+ai,来自byzod高质量包+清洗
comic,漫画,漫画|漫畫|漫畵,0,234453,0.93,byzod+ai,来自byzod高质量包+清洗
greyscale,纯黑白色|黑白照片化,白黒,0,233937,0.93,byzod+ai,来自byzod高质量包+清洗
cat_ears,猫耳,猫耳|ネコ耳|ねこ耳|猫耳カチューシャ,0,233227,0.93,byzod+ai,来自byzod高质量包+清洗
dark_skin,褐色皮肤,褐色|褐色肌|色黒,0,233070,0.93,byzod+ai,来自byzod高质量包+清洗
cloud,云,雲,0,232981,0.93,byzod+ai,来自byzod高质量包+清洗
serafuku,水手服,セーラー服|水手服,0,231466,0.93,byzod+ai,来自byzod高质量包+清洗
black_footwear,黑色的鞋,,0,231413,0.93,byzod+ai,来自byzod高质量包+清洗
pink_eyes,粉红色的眼睛,,0,230370,0.93,byzod+ai,来自byzod高质量包+清洗
on_back,仰躺,仰向け|仰臥,0,229507,0.93,byzod+ai,来自byzod高质量包+清洗
multiple_boys,多个男孩,,0,228700,0.93,byzod+ai,来自byzod高质量包+清洗
spread_legs,张开腿|M字张腿|桃色蹲姿|V字张腿,開脚|M字開脚|エロ蹲踞|V字開脚|张开双腿,0,227950,0.93,byzod+ai,来自byzod高质量包+清洗
miniskirt,迷你裙,ミニスカ巫女|迷你裙|超短裙,0,227678,0.93,byzod+ai,来自byzod高质量包+清洗
armpits,腋下,腋|脇|魅惑の腋|腋巫女|脇の下,0,226109,0.93,byzod+ai,来自byzod高质量包+清洗
off_shoulder,露肩式,,0,225622,0.93,byzod+ai,来自byzod高质量包+清洗
streaked_hair,有其他颜色条纹的,有其他颜色条纹的头发|挑染,0,224966,0.86,byzod+ai,Byzod长描述→缩短主显示
twitter_username,推特用户名,,0,223413,0.93,byzod+ai,来自byzod高质量包+清洗
grey_background,灰色背景,,0,223052,0.93,byzod+ai,来自byzod高质量包+清洗
mole,痣,痣,0,222127,0.93,byzod+ai,来自byzod高质量包+清洗
hood,兜帽,頭巾|帽兜,0,218298,0.93,byzod+ai,来自byzod高质量包+清洗
nail_polish,指甲油,マニキュア液|指甲油,0,217408,0.93,byzod+ai,来自byzod高质量包+清洗
sailor_collar,水手领,セーラー襟|セーラー水着|水手领,0,216752,0.93,byzod+ai,来自byzod高质量包+清洗
black_dress,黑色连衣裙,黒ワンピ,0,216567,0.93,byzod+ai,来自byzod高质量包+清洗
cum,精液,精液,0,213290,0.93,byzod+ai,来自byzod高质量包+清洗
holding_weapon,手持武器,,0,213194,0.93,byzod+ai,来自byzod高质量包+清洗
wide_sleeves,宽大的袖子,,0,212095,0.93,byzod+ai,来自byzod高质量包+清洗
fingerless_gloves,露指手套,指抜きグローブ|无指手套,0,209069,0.93,byzod+ai,来自byzod高质量包+清洗
two-tone_hair,双色头发,二色髪,0,206757,0.93,byzod+ai,来自byzod高质量包+清洗
hair_over_one_eye,遮单眼,遮一只眼|眼间发|片目隠れ|片目隠し,0,206534,0.97,byzod+ai,[Manual] 清晰
hair_bun,发髻|团子头,丸子头|お団子|发髻|お団子ヘアー,0,204024,0.93,byzod+ai,来自byzod高质量包+清洗
blurry,模糊的,模糊,0,202615,0.93,byzod+ai,来自byzod高质量包+清洗
from_behind,从背后,背影|后视图|後ろ姿,0,201113,0.97,byzod+ai,[Manual] 经典构图
speech_bubble,对话框|会话气泡,對話框,0,200528,0.93,byzod+ai,来自byzod高质量包+清洗
sword,剑|刀,剣|大刀|刀剣|大剣|女剣士,0,199350,0.93,byzod+ai,来自byzod高质量包+清洗
rabbit_ears,兔子耳朵,うさぎ耳|ウサギ耳|うさ耳|兎耳|ウサ耳,0,198998,0.93,byzod+ai,来自byzod高质量包+清洗
leotard,紧身连身衣裤|芭蕾服,,0,197356,0.93,byzod+ai,来自byzod高质量包+清洗
white_thighhighs,白色过膝袜,白ニーソックス|白ニーソ|白ニーハイ|白ストッキング|白スト,0,197211,0.93,byzod+ai,来自byzod高质量包+清洗
looking_at_another,看着另一个,,0,196245,0.93,byzod+ai,来自byzod高质量包+清洗
necklace,项链,,0,195974,0.93,byzod+ai,来自byzod高质量包+清洗
open_jacket,敞开的夹克,,0,192932,0.93,byzod+ai,来自byzod高质量包+清洗
clothes_lift,掀起衣物,たくし上げ,0,191932,0.93,byzod+ai,来自byzod高质量包+清洗
yuri,百合,百合|社会人百合|創作百合|オリジナル百合|ウマ娘百合ティーダービー,0,191126,0.93,byzod+ai,来自byzod高质量包+清洗
huge_breasts,巨乳(E),爆乳|爆乳化,0,191099,0.93,byzod+ai,来自byzod高质量包+清洗
black_jacket,黑色夹克,,0,191008,0.93,byzod+ai,来自byzod高质量包+清洗
animal_ear_fluff,耳绒毛,,0,190173,0.93,byzod+ai,来自byzod高质量包+清洗
bra,胸罩,胸罩,0,189330,0.93,byzod+ai,来自byzod高质量包+清洗
striped_clothes,条纹衣服,条纹装,0,187714,0.97,ai_generated,[Manual] 纹理
grin,露齿而笑,輝く白い歯|露齿笑,0,186918,0.93,byzod+ai,来自byzod高质量包+清洗
feet,脚,足|足フェチ,0,185722,0.93,byzod+ai,来自byzod高质量包+清洗
water,水,水,0,185652,0.93,byzod+ai,来自byzod高质量包+清洗
orange_hair,橙色头发,オレンジ髪,0,184646,0.93,byzod+ai,来自byzod高质量包+清洗
black_pantyhose,黑色连裤袜,黑色连裤袜(覆盖臀部)|黒スト|黒ストッキング|黑丝|黒タイツ,0,184210,0.86,byzod+ai,Byzod长描述→缩短主显示
from_side,角色的侧面,,0,183476,0.93,byzod+ai,来自byzod高质量包+清洗
mosaic_censoring,打了马赛克,马赛克,0,183362,0.93,byzod+ai,来自byzod高质量包+清洗
english_text,英语,英語,0,182490,0.93,byzod+ai,来自byzod高质量包+清洗
kimono,和服,着物|和服,0,181963,0.93,byzod+ai,来自byzod高质量包+清洗
red_bow,红色蝴蝶结,,0,179204,0.93,byzod+ai,来自byzod高质量包+清洗
high_heels,高跟鞋,高跟|高跟鞋,0,177977,0.93,byzod+ai,来自byzod高质量包+清洗
arm_up,举着手,,0,177937,0.93,byzod+ai,来自byzod高质量包+清洗
vaginal,阴道,膣の|阴道性行为,0,177417,0.93,byzod+ai,来自byzod高质量包+清洗
crop_top,露腹短上衣,露腹短上衣|短款上衣,0,175849,0.93,byzod+ai,来自byzod高质量包+清洗
bag,包,鞄,0,175196,0.93,byzod+ai,来自byzod高质量包+清洗
tears,眼泪,涙,0,175161,0.93,byzod+ai,来自byzod高质量包+清洗
white_panties,白色内裤,白パンツ|白パン|白いパンツ,0,173369,0.93,byzod+ai,来自byzod高质量包+清洗
completely_nude,完全裸露,生まれたままの姿(産まれたままの姿)全裸(ヌード)|裸帽子|全裸|完全裸|髪飾り以外完全裸,0,172247,0.93,byzod+ai,来自byzod高质量包+清洗
sweatdrop,汗珠,汗マーク|汗滴,0,170957,0.93,byzod+ai,来自byzod高质量包+清洗
coat,外套,外套,0,169134,0.93,byzod+ai,来自byzod高质量包+清洗
blue_sky,蓝天,青空|蒼空|青い空|蒼天|蒼穹,0,168972,0.93,byzod+ai,来自byzod高质量包+清洗
3girls,3个女性,,0,167209,0.93,byzod+ai,来自byzod高质量包+清洗
apron,围裙,围裙,0,167060,0.93,byzod+ai,来自byzod高质量包+清洗
black_shirt,黑色衬衫,黒シャツ,0,166731,0.93,byzod+ai,来自byzod高质量包+清洗
arms_up,抬手,脇見せのポーズ,0,166635,0.93,byzod+ai,来自byzod高质量包+清洗
collar,项圈,首輪|项圈,0,165642,0.93,byzod+ai,来自byzod高质量包+清洗
sweater,毛衣,毛衣,0,163612,0.93,byzod+ai,来自byzod高质量包+清洗
dark-skinned_female,褐皮女性,褐色娘|褐色ロリ|黒ギャル,0,160161,0.93,byzod+ai,来自byzod高质量包+清洗
bracelet,手镯,腕輪|手镯,0,159920,0.93,byzod+ai,来自byzod高质量包+清洗
black_eyes,黑眼,黒目,0,157726,0.93,byzod+ai,来自byzod高质量包+清洗
red_ribbon,红色丝带,,0,156166,0.93,byzod+ai,来自byzod高质量包+清洗
parted_bangs,分开的刘海,センター分け|真ん中分け|中分刘海,0,155933,0.93,byzod+ai,来自byzod高质量包+清洗
:o,张嘴,Oの字口,0,154975,0.93,byzod+ai,来自byzod高质量包+清洗
flat_chest,平胸|贫乳(A),極上の貧乳|大平原の小さな胸|無乳|平らな胸|平胸,0,154861,0.93,byzod+ai,来自byzod高质量包+清洗
fingernails,指甲,爪|指甲,0,153971,0.93,byzod+ai,来自byzod高质量包+清洗
vest,背心,背心,0,153408,0.93,byzod+ai,来自byzod高质量包+清洗
symbol-shaped_pupils,符号形瞳孔,柄目,0,152490,0.93,byzod+ai,来自byzod高质量包+清洗
blue_skirt,蓝色短裙,青いスカート,0,150107,0.93,byzod+ai,来自byzod高质量包+清洗
hands_up,双手朝上|双手抬起|双手举起,,0,149889,0.93,byzod+ai,来自byzod高质量包+清洗
black_choker,黑色项链,,0,149280,0.93,byzod+ai,来自byzod高质量包+清洗
cape,披肩/斗篷/披风,披风|披風,0,148991,0.93,byzod+ai,来自byzod高质量包+清洗
armor,盔甲,鎧|甲冑,0,148539,0.93,byzod+ai,来自byzod高质量包+清洗
grey_eyes,灰色的眼睛,灰色の瞳,0,148306,0.93,byzod+ai,来自byzod高质量包+清洗
strapless,无肩带款式,,0,146449,0.93,byzod+ai,来自byzod高质量包+清洗
character_name,含角色名,,0,145773,0.93,byzod+ai,来自byzod高质量包+清洗
cup,杯子,杯子,0,145652,0.93,byzod+ai,来自byzod高质量包+清洗
toes,脚趾,足指|足の指,0,144992,0.93,byzod+ai,来自byzod高质量包+清洗
chibi,Q版人物,Q版|Q版造型,0,144279,0.93,byzod+ai,来自byzod高质量包+清洗
two_side_up,小型双股辫,,0,144124,0.93,byzod+ai,来自byzod高质量包+清洗
covered_nipples,激凸的乳头|隐约可见的乳头,胸ポチ|勃起乳首|透け乳首|浮き乳首,0,143905,0.93,byzod+ai,来自byzod高质量包+清洗
scarf,围巾,围巾|围脖,0,143555,0.93,byzod+ai,来自byzod高质量包+清洗
clothing_cutout,衣服漏洞,,0,143186,0.93,byzod+ai,来自byzod高质量包+清洗
orange_eyes,橙色的眼镜,オレンジ目,0,143030,0.93,byzod+ai,来自byzod高质量包+清洗
twin_braids,双辫子,,0,142994,0.93,byzod+ai,来自byzod高质量包+清洗
puffy_short_sleeves,蓬蓬的短袖,,0,142767,0.93,byzod+ai,来自byzod高质量包+清洗
side_ponytail,侧马尾,侧马尾,0,142178,0.97,byzod+ai,[Manual] 标准
looking_to_the_side,看向侧面,,0,141529,0.93,byzod+ai,来自byzod高质量包+清洗
bar_censor,黑条打码,,0,141512,0.93,byzod+ai,来自byzod高质量包+清洗
dated,付上日期的,日付,0,141426,0.93,byzod+ai,来自byzod高质量包+清洗
